Benchmark: bp4-qd (Strike-Slip Fault in a 3D Wholespace)
 
User: barbot.6 (Motorcycle, SBEM, dx=500m, W=120, L=120)
 
File: fltst_strk+000dp-120 (x2 = +0.00, x3 = -12.0 km)
            

# problem=Benchmark problem (BP4-QD)
# author=Sylvain Barbot
# date=Tue Mar 30 22:47:12 PDT 2021
# code=motorcycle-3d-ratestate
# code_version=beta
# element_size=500 m
# minimum_time_step=0.001
# maximum_time_step=12642527.3214
# num_time_steps=2932
# location=on fault, km depth
# Column #1 = Time (s)
# Column #2 = Slip_2 (m)
# Column #3 = Slip_3 (m)
# Column #4 = Slip_rate_2 (log10 m/s)
# Column #5 = Slip_rate_3 (log10 m/s)
# Column #6 = Shear_stress_2 (MPa)
# Column #7 = Shear_stress_3 (MPa)
# Column #8 = State (log10 s)
# The line below lists the names of the data fields
t slip_2 slip_3 slip_rate_2 slip_rate_3 shear_stress_2 shear_stress_3 state
# Here is the time-series data.
4.705311031056E+01 6.25553e-08 1.563836946461E-010 -7.78877 -9.83177 -3.315008765370E+001 3.002534648052E-001 7.602059825585E+000
4.721193293537E+01 6.5389e-08 1.827815528958E-010 -7.70855 -9.7287 -3.320996484591E+001 3.170474273410E-001 7.602059796541E+000
4.737368943938E+01 6.88969e-08 2.170413651540E-010 -7.61897 -9.61921 -3.327685440006E+001 3.325824604341E-001 7.602059760210E+000
4.750009080770E+01 7.2219e-08 2.510773740073E-010 -7.54189 -9.52094 -3.333436450376E+001 3.498174047391E-001 7.602059725511E+000
4.765983002966E+01 7.74022e-08 3.069783275138E-010 -7.43621 -9.39397 -3.341326032687E+001 3.682632289694E-001 7.602059670966E+000
4.780583507904E+01 8.34517e-08 3.752646675656E-010 -7.32924 -9.26506 -3.349308724184E+001 3.882714833527E-001 7.602059606865E+000
4.797130248567E+01 9.25355e-08 4.846608637610E-010 -7.19267 -9.099 -3.359495924798E+001 4.168156352395E-001 7.602059510029E+000
4.812298974680E+01 1.03978e-07 6.300758639224E-010 -7.05334 -8.93979 -3.369896974206E+001 4.376897870636E-001 7.602059387427E+000
4.826179452405E+01 1.18468e-07 8.236819087916E-010 -6.91028 -8.77191 -3.380567333054E+001 4.648996722013E-001 7.602059231596E+000
4.840740201092E+01 1.40322e-07 1.135067736243E-009 -6.73904 -8.57351 -3.393338405662E+001 4.967770290824E-001 7.602058995883E+000
4.855476726200E+01 1.74061e-07 1.641347060798E-009 -6.54481 -8.35924 -3.407836921608E+001 5.224574363975E-001 7.602058631121E+000
4.870470493573E+01 2.29982e-07 2.529381402341E-009 -6.31552 -8.09998 -3.424934488797E+001 5.625928869608E-001 7.602058025515E+000
4.885380229437E+01 3.29126e-07 4.228228205959E-009 -6.04514 -7.79786 -3.445092834533E+001 6.088120273280E-001 7.602056950543E+000
4.902246023287E+01 5.63458e-07 8.524521993615E-009 -5.68403 -7.40839 -3.472037031223E+001 6.549684701531E-001 7.602054407711E+000
4.919658907910E+01 1.20013e-06 2.127702268803E-008 -5.20822 -6.88527 -3.507485845953E+001 7.378084375420E-001 7.602047495676E+000
4.935018686675E+01 3.06335e-06 6.288280583407E-008 -4.66125 -6.29893 -3.548250827825E+001 8.172240522633E-001 7.602027262610E+000
4.951127457872E+01 1.22007e-05 2.850651734593E-007 -3.89597 -5.49232 -3.605291531555E+001 9.132418651667E-001 7.601928027684E+000
4.965200057955E+01 8.36135e-05 2.303911225504E-006 -2.80419 -4.33074 -3.686406969945E+001 1.096630495089E+000 7.601152364181E+000
4.980421964201E+01 0.00323525 1.088785865257E-004 -1.15593 -2.61161 -3.803933229583E+001 1.332139861571E+000 7.566914332296E+000
4.997441303636E+01 0.0317208 1.181991765640E-003 -0.579229 -1.98751 -3.800207293091E+001 1.484324381771E+000 7.257416799490E+000
5.013589634220E+01 0.089617 3.471938773346E-003 -0.340793 -1.74567 -3.723909287666E+001 1.465946819384E+000 6.628325057381E+000
5.028387249153E+01 0.170662 6.578514177770E-003 -0.194307 -1.62417 -3.603471103415E+001 1.339234892545E+000 5.747748735664E+000
5.044071377308E+01 0.285786 1.060769418741E-002 -0.0826322 -1.56981 -3.425302259525E+001 1.115643567807E+000 4.497033494884E+000
5.059224097745E+01 0.423754 1.464629685688E-002 -0.00450851 -1.59447 -3.207607427750E+001 8.245645732586E-001 2.998441144136E+000
5.073211940894E+01 0.570605 1.772198619565E-002 0.0421089 -1.75876 -2.973184005423E+001 4.702775474491E-001 1.404292591661E+000
5.088613788647E+01 0.744784 1.946361514805E-002 0.0567525 -2.26406 -2.698126640150E+001 1.288981599824E-001 -4.430666218826E-001
5.103494153480E+01 0.906347 1.964853720520E-002 0.00102245 -2.70061 -2.557233196671E+001 -5.083242227246E-002 -1.356744486896E+000
5.118326111180E+01 1.04507 1.916991582719E-002 -0.0546436 -2.45036 -2.553162884567E+001 -1.026503460262E-001 -1.356004293007E+000
5.132409340960E+01 1.16343 1.875983332972E-002 -0.0954505 -2.64112 -2.556143719640E+001 -7.276318037047E-002 -1.315752304113E+000
5.149028254302E+01 1.29076 1.837969281236E-002 -0.135139 -2.59387 -2.559279064919E+001 -8.899937135852E-002 -1.274925488752E+000
5.164114800181E+01 1.3974 1.800044617324E-002 -0.165762 -2.6382 -2.561692305138E+001 -8.631454632969E-002 -1.243496480958E+000
5.177827582265E+01 1.4882 1.771526202071E-002 -0.19242 -2.72142 -2.563639897033E+001 -7.583296570313E-002 -1.217176324324E+000
5.190940214773E+01 1.57006 1.748441697844E-002 -0.216668 -2.78036 -2.565456737842E+001 -7.006021331819E-002 -1.192924488589E+000
5.205861444135E+01 1.65799 1.723756856023E-002 -0.242642 -2.77784 -2.567391677231E+001 -7.486696652470E-002 -1.167000082608E+000
5.220287407702E+01 1.7382 1.701370571635E-002 -0.267122 -2.87219 -2.569174141437E+001 -6.378615553216E-002 -1.142870357574E+000
5.234695638299E+01 1.81397 1.685288070275E-002 -0.291294 -3.02279 -2.570904729552E+001 -4.770818418994E-002 -1.119244646350E+000
5.251392278715E+01 1.89667 1.671928313842E-002 -0.31898 -3.20379 -2.572891396731E+001 -3.354401849044E-002 -1.092142432877E+000
5.268475935191E+01 1.97607 1.663454757307E-002 -0.346602 -3.36031 -2.574878909658E+001 -2.494889664120E-002 -1.065058781009E+000
5.282559551627E+01 2.03786 1.657573276283E-002 -0.368926 -3.42471 -2.576485025306E+001 -2.265938928274E-002 -1.043166883647E+000
5.294293688843E+01 2.087 1.653751045128E-002 -0.387181 -3.54233 -2.577796870339E+001 -1.803440941524E-002 -1.025276462181E+000
5.308482702167E+01 2.14373 1.649848866647E-002 -0.409065 -3.58026 -2.579352866348E+001 -1.739061430818E-002 -1.003938657767E+000
5.324447310665E+01 2.20427 1.646363630975E-002 -0.433205 -3.75586 -2.581080768707E+001 -1.227854410922E-002 -9.803257675730E-001
5.341712999052E+01 2.2661 1.643371399297E-002 -0.45885 -3.75512 -2.582907204399E+001 -1.305686730690E-002 -9.552997077346E-001
5.358777929779E+01 2.32376 1.640762702962E-002 -0.483611 -3.8717 -2.584678612055E+001 -1.057590596446E-002 -9.310845206329E-001
5.374337426865E+01 2.37357 1.638446830817E-002 -0.505739 -3.77581 -2.586256734333E+001 -1.388669517701E-002 -9.094751168248E-001
5.390836603459E+01 2.42373 1.635582178787E-002 -0.528605 -3.74697 -2.587898137507E+001 -1.565252128876E-002 -8.870743903985E-001
5.404360284271E+01 2.46293 1.632939861788E-002 -0.546977 -3.66965 -2.589210111666E+001 -1.952050429485E-002 -8.691207844271E-001
5.416550216176E+01 2.49688 1.630213571319E-002 -0.563253 -3.64051 -2.590372571078E+001 -2.168230766955E-002 -8.532151213680E-001
5.431879732315E+01 2.53783 1.626591029339E-002 -0.583326 -3.60278 -2.591805977566E+001 -2.478267445879E-002 -8.335995902581E-001
5.447583936635E+01 2.57788 1.622418776480E-002 -0.603508 -3.55732 -2.593242140116E+001 -2.884235499024E-002 -8.139098157590E-001
5.462706797654E+01 2.61475 1.618114780336E-002 -0.622521 -3.52991 -2.594598354955E+001 -3.211335109258E-002 -7.953392507259E-001
5.477268410886E+01 2.64876 1.613606492096E-002 -0.64052 -3.49169 -2.595875743304E+001 -3.656875840745E-002 -7.778012366439E-001
5.490992149726E+01 2.67957 1.609078621882E-002 -0.657172 -3.47171 -2.597059337158E+001 -3.980516896509E-002 -7.615637575395E-001
5.503841354710E+01 2.70737 1.604612227855E-002 -0.672534 -3.44529 -2.598146696949E+001 -4.384345540866E-002 -7.466133993498E-001
5.518882717564E+01 2.73869 1.599058667151E-002 -0.690268 -3.423 -2.599397313145E+001 -4.809981623567E-002 -7.293856836481E-001
5.535550688822E+01 2.77196 1.592617158649E-002 -0.709607 -3.40173 -2.600756997887E+001 -5.284193874025E-002 -7.106255170904E-001
5.551349691655E+01 2.80215 1.586228823532E-002 -0.727729 -3.38728 -2.602020502447E+001 -5.698467601205E-002 -6.931164956980E-001
5.567099209733E+01 2.83104 1.579706506025E-002 -0.745571 -3.37753 -2.603261224664E+001 -6.075216918957E-002 -6.759000175771E-001
5.583245969033E+01 2.85945 1.572850405702E-002 -0.763689 -3.36801 -2.604512995305E+001 -6.477428168927E-002 -6.584711286025E-001
5.597583035677E+01 2.8837 1.566675198235E-002 -0.77958 -3.36297 -2.605612166090E+001 -6.800155086001E-002 -6.431763108499E-001
5.613013763242E+01 2.90884 1.559915522622E-002 -0.796488 -3.3543 -2.606779814185E+001 -7.215965066981E-002 -6.269131623063E-001
5.628613046631E+01 2.93329 1.552974070282E-002 -0.813328 -3.349 -2.607947057628E+001 -7.596732697929E-002 -6.106871998998E-001
5.644553646552E+01 2.95732 1.545765920494E-002 -0.83024 -3.34004 -2.609123928749E+001 -8.066692074431E-002 -5.943587008627E-001
5.660871403635E+01 2.98097 1.538246554662E-002 -0.847207 -3.33335 -2.610312007460E+001 -8.522236702218E-002 -5.779275865690E-001
5.675330370131E+01 3.00118 1.531478725839E-002 -0.861901 -3.32555 -2.611349469459E+001 -8.978787426893E-002 -5.636386949584E-001
5.688739690985E+01 3.01933 1.525090324511E-002 -0.875244 -3.31903 -2.612296660574E+001 -9.402260612297E-002 -5.506287545312E-001
5.701203018130E+01 3.03571 1.519078371540E-002 -0.887358 -3.31394 -2.613165137900E+001 -9.785636184803E-002 -5.387598648827E-001
