t;max_slip_rate;moment_rate
0.40466973415527E+02;-0.6377159E-01;0.4893813E+19
0.40515928671223E+02;-0.6284245E-01;0.4921354E+19
0.40564704961869E+02;-0.6253249E-01;0.4947766E+19
0.40613734022130E+02;-0.6111197E-01;0.4973481E+19
0.40662780196157E+02;-0.6088925E-01;0.4999093E+19
0.40711129423505E+02;-0.5968364E-01;0.5025209E+19
0.40759285776067E+02;-0.5928352E-01;0.5052702E+19
0.40807498128779E+02;-0.5787505E-01;0.5081510E+19
0.40855667917228E+02;-0.5768698E-01;0.5110805E+19
0.40903575211535E+02;-0.5658341E-01;0.5139750E+19
0.40951220136432E+02;-0.5558042E-01;0.5168107E+19
0.40998936583153E+02;-0.5457124E-01;0.5196046E+19
0.41046962895460E+02;-0.5390784E-01;0.5223952E+19
0.41094510193607E+02;-0.5370591E-01;0.5251820E+19
0.41142176666874E+02;-0.5237391E-01;0.5280137E+19
0.41189187312915E+02;-0.5122773E-01;0.5308397E+19
0.41236309980791E+02;-0.5050447E-01;0.5337449E+19
0.41283298642105E+02;-0.5048728E-01;0.5367497E+19
0.41330168666100E+02;-0.4904826E-01;0.5398233E+19
0.41377598246980E+02;-0.4828396E-01;0.5429524E+19
0.41423998964712E+02;-0.4734897E-01;0.5459802E+19
0.41470270988122E+02;-0.4679078E-01;0.5489149E+19
0.41516548684912E+02;-0.4569946E-01;0.5517759E+19
0.41563350038566E+02;-0.4560368E-01;0.5546727E+19
0.41609526045456E+02;-0.4407881E-01;0.5576049E+19
0.41655292182603E+02;-0.4305601E-01;0.5606305E+19
0.41701266631267E+02;-0.4228891E-01;0.5637995E+19
0.41747680012890E+02;-0.4189150E-01;0.5670909E+19
0.41793481348566E+02;-0.4157829E-01;0.5703453E+19
0.41839413874788E+02;-0.4007906E-01;0.5735319E+19
0.41884628398621E+02;-0.3901201E-01;0.5765819E+19
0.41929856412821E+02;-0.3853358E-01;0.5795995E+19
0.41975019657588E+02;-0.3810979E-01;0.5826330E+19
0.42020138328222E+02;-0.3713089E-01;0.5857197E+19
0.42065444311174E+02;-0.3600571E-01;0.5888911E+19
0.42110087829018E+02;-0.3499097E-01;0.5920868E+19
0.42154638920557E+02;-0.3438739E-01;0.5953528E+19
0.42199296638378E+02;-0.3371404E-01;0.5987067E+19
0.42244648225475E+02;-0.3404843E-01;0.6021441E+19
0.42289087397313E+02;-0.3218646E-01;0.6054587E+19
0.42333266575390E+02;-0.3096987E-01;0.6086674E+19
0.42377464892552E+02;-0.3038297E-01;0.6118135E+19
0.42421858842605E+02;-0.3042587E-01;0.6149739E+19
0.42465828799111E+02;-0.2942948E-01;0.6181743E+19
0.42510348681793E+02;-0.2826934E-01;0.6215138E+19
0.42554107338340E+02;-0.2699956E-01;0.6249024E+19
0.42597531959636E+02;-0.2657683E-01;0.6283649E+19
0.42640931041356E+02;-0.2593288E-01;0.6318733E+19
0.42684725260654E+02;-0.2563473E-01;0.6353806E+19
0.42728386572322E+02;-0.2465309E-01;0.6387861E+19
0.42771812625085E+02;-0.2312212E-01;0.6420842E+19
0.42814887832797E+02;-0.2251083E-01;0.6453314E+19
0.42858003169684E+02;-0.2227848E-01;0.6486433E+19
0.42901282315256E+02;-0.2207520E-01;0.6520669E+19
0.42944115084124E+02;-0.2111275E-01;0.6555319E+19
0.42987222840160E+02;-0.1917700E-01;0.6590797E+19
0.43029607767464E+02;-0.1877082E-01;0.6626275E+19
0.43072007709106E+02;-0.1831162E-01;0.6662222E+19
0.43114394606797E+02;-0.1779937E-01;0.6698164E+19
0.43157642038860E+02;-0.1768727E-01;0.6734149E+19
0.43199986336903E+02;-0.1537396E-01;0.6768456E+19
0.43241906406872E+02;-0.1484478E-01;0.6802011E+19
0.43284064428093E+02;-0.1452473E-01;0.6836107E+19
0.43326106639122E+02;-0.1466966E-01;0.6871100E+19
0.43368021325266E+02;-0.1365495E-01;0.6907163E+19
0.43410626501356E+02;-0.1170785E-01;0.6944744E+19
0.43452038680222E+02;-0.1104107E-01;0.6981781E+19
0.43493457281617E+02;-0.1073544E-01;0.7018927E+19
0.43534826163416E+02;-0.1025859E-01;0.7055589E+19
0.43576296715580E+02;-0.1051200E-01;0.7091471E+19
0.43618096698603E+02;-0.8190560E-02;0.7126895E+19
0.43659051434570E+02;-0.7349682E-02;0.7161554E+19
0.43700225914711E+02;-0.7051452E-02;0.7197151E+19
