Benchmark: bp4-qd (Strike-Slip Fault in a 3D Wholespace)
 
User: barbot.6 (Motorcycle, SBEM, dx=500m, W=120, L=120)
 
File: fltst_strk-165dp+000 (x2 = -16.5, x3 = +0.00 km)
            

# problem=Benchmark problem (BP4-QD)
# author=Sylvain Barbot
# date=Tue Mar 30 22:47:12 PDT 2021
# code=motorcycle-3d-ratestate
# code_version=beta
# element_size=500 m
# minimum_time_step=0.001
# maximum_time_step=12642527.3214
# num_time_steps=2932
# location=on fault, km depth
# Column #1 = Time (s)
# Column #2 = Slip_2 (m)
# Column #3 = Slip_3 (m)
# Column #4 = Slip_rate_2 (log10 m/s)
# Column #5 = Slip_rate_3 (log10 m/s)
# Column #6 = Shear_stress_2 (MPa)
# Column #7 = Shear_stress_3 (MPa)
# Column #8 = State (log10 s)
# The line below lists the names of the data fields
t slip_2 slip_3 slip_rate_2 slip_rate_3 shear_stress_2 shear_stress_3 state
# Here is the time-series data.
3.936255696944E+01 1.48269 2.911631598926E-002 -0.425536 -2.77614 -2.581359956854E+001 1.151450472829E-001 -9.821271626392E-001
3.954485272949E+01 1.54988 2.940773425203E-002 -0.441168 -2.82302 -2.582603933192E+001 1.072019337007E-001 -9.660222616926E-001
3.971880455340E+01 1.61187 2.964605289090E-002 -0.454855 -2.90865 -2.583700741517E+001 9.087505618183E-002 -9.518921595005E-001
3.991183679535E+01 1.67849 2.986427695089E-002 -0.46919 -2.97313 -2.584811367780E+001 8.100020681751E-002 -9.373255885207E-001
4.006791348036E+01 1.73079 3.002836127113E-002 -0.48056 -2.98187 -2.585656016429E+001 8.151911508178E-002 -9.259962887904E-001
4.023247839869E+01 1.78448 3.019416276946E-002 -0.492237 -3.02243 -2.586534898700E+001 7.629962719603E-002 -9.142958185731E-001
4.039217824289E+01 1.83526 3.033300870072E-002 -0.502816 -3.1022 -2.587370479805E+001 6.508427690239E-002 -9.034439049241E-001
4.056417223730E+01 1.88863 3.045712243676E-002 -0.513529 -3.17594 -2.588216913386E+001 5.631058775195E-002 -8.924452811480E-001
4.073778890253E+01 1.94121 3.056738747680E-002 -0.524039 -3.21658 -2.589015571852E+001 5.255229800752E-002 -8.818596637847E-001
4.089163400950E+01 1.98676 3.065648114511E-002 -0.533168 -3.25742 -2.589700791020E+001 4.886450441840E-002 -8.727212470373E-001
4.106676967918E+01 2.03747 3.074905070051E-002 -0.543295 -3.29808 -2.590464277250E+001 4.556138526234E-002 -8.625609652976E-001
4.123393282016E+01 2.08481 3.082812596044E-002 -0.552496 -3.35712 -2.591178039992E+001 4.063246909726E-002 -8.531966127325E-001
4.139250958170E+01 2.12882 3.089060532032E-002 -0.56078 -3.46319 -2.591830340756E+001 3.244897967822E-002 -8.447039470339E-001
4.155476623099E+01 2.17301 3.094044104705E-002 -0.568961 -3.546 -2.592463278408E+001 2.733227604877E-002 -8.363885724051E-001
4.173278812844E+01 2.22055 3.099080718255E-002 -0.577842 -3.54158 -2.593127036156E+001 2.818913907914E-002 -8.275127030887E-001
4.188972089843E+01 2.26167 3.103567813403E-002 -0.585555 -3.5656 -2.593702666822E+001 2.715669751475E-002 -8.198108425785E-001
4.204674371141E+01 2.3021 3.107280435595E-002 -0.592886 -3.70092 -2.594276829185E+001 2.022950058813E-002 -8.123128420913E-001
4.220283143035E+01 2.34164 3.109940685888E-002 -0.599814 -3.83245 -2.594825820541E+001 1.518696955997E-002 -8.051835055705E-001
4.237708799751E+01 2.38505 3.112281865082E-002 -0.607375 -3.90213 -2.595405436835E+001 1.316586930573E-002 -7.975310549339E-001
4.254496267924E+01 2.42616 3.114129428376E-002 -0.614546 -4.0309 -2.595947359448E+001 9.952658225880E-003 -7.903252727516E-001
4.273918554358E+01 2.47291 3.115776916519E-002 -0.622612 -4.09504 -2.596560044707E+001 8.749272626742E-003 -7.821990607552E-001
