Benchmark: bp4-qd (Strike-Slip Fault in a 3D Wholespace)
 
User: barbot.6 (Motorcycle, SBEM, dx=500m, W=120, L=120)
 
File: fltst_strk-165dp-120 (x2 = -16.5, x3 = -12.0 km)
            

# problem=Benchmark problem (BP4-QD)
# author=Sylvain Barbot
# date=Tue Mar 30 22:47:11 PDT 2021
# code=motorcycle-3d-ratestate
# code_version=beta
# element_size=500 m
# minimum_time_step=0.001
# maximum_time_step=12642527.3214
# num_time_steps=2932
# location=on fault, km depth
# Column #1 = Time (s)
# Column #2 = Slip_2 (m)
# Column #3 = Slip_3 (m)
# Column #4 = Slip_rate_2 (log10 m/s)
# Column #5 = Slip_rate_3 (log10 m/s)
# Column #6 = Shear_stress_2 (MPa)
# Column #7 = Shear_stress_3 (MPa)
# Column #8 = State (log10 s)
# The line below lists the names of the data fields
t slip_2 slip_3 slip_rate_2 slip_rate_3 shear_stress_2 shear_stress_3 state
# Here is the time-series data.
4.155476623099E+01 4.26749e-08 2.468486209611E-011 -8.41395 -10.9612 -3.268345914533E+001 9.270826055586E-002 7.602059981742E+000
4.173278812844E+01 4.33895e-08 2.671548028876E-011 -8.37885 -10.9255 -3.270972368763E+001 9.291143472593E-002 7.602059975915E+000
4.188972089843E+01 4.40701e-08 2.864451935869E-011 -8.34673 -10.8931 -3.273375869526E+001 9.302820308781E-002 7.602059970230E+000
4.204674371141E+01 4.48055e-08 3.076875784187E-011 -8.31184 -10.8431 -3.275986155241E+001 9.640169540218E-002 7.602059963951E+000
4.220283143035E+01 4.56008e-08 3.316101613832E-011 -8.27345 -10.7852 -3.278857723959E+001 1.009198343603E-001 7.602059957010E+000
4.237708799751E+01 4.65802e-08 3.623343048478E-011 -8.22698 -10.7262 -3.282334376027E+001 1.039902051468E-001 7.602059948268E+000
4.254496267924E+01 4.76308e-08 3.956923512170E-011 -8.1802 -10.6782 -3.285834661015E+001 1.043808071863E-001 7.602059938684E+000
4.273918554358E+01 4.90004e-08 4.391061642496E-011 -8.12315 -10.6201 -3.290104092880E+001 1.047639168541E-001 7.602059925922E+000
4.290982465357E+01 5.03697e-08 4.835224748579E-011 -8.0675 -10.5479 -3.294266685917E+001 1.089947978491E-001 7.602059912908E+000
4.308307393953E+01 5.19654e-08 5.377095151801E-011 -8.00341 -10.4618 -3.299060880669E+001 1.148037197176E-001 7.602059897464E+000
4.323694337080E+01 5.36053e-08 5.954303750298E-011 -7.94156 -10.3928 -3.303689312230E+001 1.168772744086E-001 7.602059881330E+000
4.339518232871E+01 5.55599e-08 6.646510008574E-011 -7.87525 -10.3263 -3.308650915377E+001 1.171218517709E-001 7.602059861826E+000
4.356389709269E+01 5.80122e-08 7.515101413594E-011 -7.79989 -10.2477 -3.314290665330E+001 1.181979569885E-001 7.602059837032E+000
4.374225716098E+01 6.1147e-08 8.658474875100E-011 -7.70963 -10.1377 -3.321043053306E+001 1.239338197236E-001 7.602059804932E+000
4.390376752489E+01 6.46587e-08 1.000212178078E-010 -7.61534 -10.0228 -3.328096648259E+001 1.302234627829E-001 7.602059768558E+000
4.405478400918E+01 6.87576e-08 1.162411050522E-010 -7.5183 -9.91872 -3.335357403244E+001 1.326560920673E-001 7.602059725694E+000
4.421787907219E+01 7.43791e-08 1.386325957398E-010 -7.40813 -9.80786 -3.343601713981E+001 1.331939226605E-001 7.602059666429E+000
4.438382460325E+01 8.18454e-08 1.685062071251E-010 -7.28583 -9.67815 -3.352752926540E+001 1.358586388833E-001 7.602059587167E+000
4.455205984387E+01 9.21497e-08 2.114445805179E-010 -7.13978 -9.50898 -3.363679403558E+001 1.437528262468E-001 7.602059477114E+000
4.470008830896E+01 1.04927e-07 2.675090770134E-010 -6.98871 -9.33672 -3.374981331272E+001 1.514479519491E-001 7.602059339998E+000
4.486797603168E+01 1.26556e-07 3.659041637529E-010 -6.79575 -9.13502 -3.389419374078E+001 1.551887508997E-001 7.602059106976E+000
4.502704974179E+01 1.58658e-07 5.133947504992E-010 -6.59919 -8.9362 -3.404128177131E+001 1.566766115554E-001 7.602058760154E+000
4.519377023447E+01 2.13892e-07 7.711556784092E-010 -6.36232 -8.68286 -3.421851309899E+001 1.635786794336E-001 7.602058162266E+000
4.536570135617E+01 3.22173e-07 1.312793857572E-009 -6.04482 -8.3307 -3.445604111115E+001 1.783956031338E-001 7.602056988469E+000
4.550624310768E+01 5.08131e-07 2.307890043952E-009 -5.72247 -7.98438 -3.469721073645E+001 1.898351833874E-001 7.602054970952E+000
4.567009513167E+01 1.03539e-06 5.245826019702E-009 -5.29017 -7.53967 -3.502067008354E+001 1.971651054783E-001 7.602049248013E+000
4.582332696776E+01 2.40811e-06 1.305812508261E-008 -4.83289 -7.07392 -3.536282116582E+001 2.030092618655E-001 7.602034345359E+000
4.598468691707E+01 7.98937e-06 4.726574759810E-008 -4.10807 -6.29644 -3.590497240078E+001 2.326947345615E-001 7.601973748110E+000
4.615087669083E+01 9.5358e-05 6.910255006767E-007 -2.70496 -4.82084 -3.695322709232E+001 2.829935478169E-001 7.601025131634E+000
4.630640022819E+01 0.00304319 2.514782035897E-005 -1.23359 -3.30448 -3.800612489545E+001 3.228266539667E-001 7.569018318091E+000
4.645928602338E+01 0.0233079 2.043031519228E-004 -0.680987 -2.7248 -3.809016342790E+001 3.443530458083E-001 7.348988947906E+000
4.659735744331E+01 0.0605872 5.450871623566E-004 -0.484882 -2.52447 -3.763109010357E+001 3.435281112035E-001 6.944216241633E+000
4.674585615463E+01 0.117897 1.048543260111E-003 -0.350047 -2.42926 -3.680096618200E+001 3.066506251745E-001 6.321962426012E+000
4.689841602407E+01 0.196427 1.653113740274E-003 -0.233601 -2.38131 -3.561232424905E+001 2.534507335200E-001 5.469304874345E+000
4.705311031056E+01 0.297163 2.299874177794E-003 -0.145861 -2.39032 -3.404133604458E+001 1.938848940312E-001 4.375554879976E+000
4.721193293537E+01 0.419732 2.880042467727E-003 -0.0833698 -2.51091 -3.209668554137E+001 1.199278139334E-001 3.044782935320E+000
4.737368943938E+01 0.560255 3.222526560958E-003 -0.0447416 -3.02326 -2.984315472517E+001 3.135646773945E-002 1.519645419607E+000
4.750009080770E+01 0.675965 3.225911499363E-003 -0.0335852 -3.09938 -2.798561672128E+001 -2.405121130618E-002 2.729578018475E-001
4.765983002966E+01 0.823346 2.983766834220E-003 -0.047979 -2.689 -2.599917216596E+001 -5.942103399401E-002 -1.047040988912E+000
4.780583507904E+01 0.943678 2.658092434581E-003 -0.12158 -2.63052 -2.559415386452E+001 -7.928618177766E-002 -1.280815198915E+000
4.797130248567E+01 1.06181 2.254287236069E-003 -0.163209 -2.59799 -2.561631202528E+001 -9.413154111620E-002 -1.245162711355E+000
4.812298974680E+01 1.16315 1.891027480712E-003 -0.190209 -2.65848 -2.563429684264E+001 -8.720632851901E-002 -1.219662589199E+000
4.826179452405E+01 1.24938 1.597928762260E-003 -0.222561 -2.67976 -2.565516287733E+001 -8.953163147629E-002 -1.189539939731E+000
4.840740201092E+01 1.33422 1.285765559461E-003 -0.244459 -2.65643 -2.567794848577E+001 -9.944744735264E-002 -1.163342834567E+000
4.855476726200E+01 1.41656 9.605054421053E-004 -0.261686 -2.66164 -2.569251769009E+001 -1.022955459258E-001 -1.144987531177E+000
4.870470493573E+01 1.49683 6.385034714735E-004 -0.280892 -2.67462 -2.570598742425E+001 -1.038255811771E-001 -1.126381237279E+000
4.885380229437E+01 1.57335 3.296821427810E-004 -0.298273 -2.69224 -2.571946321316E+001 -1.038229872037E-001 -1.108686671237E+000
4.902246023287E+01 1.6564 -9.929451722260E-006 -0.317059 -2.69701 -2.573360014015E+001 -1.072872619203E-001 -1.089838895213E+000
4.919658907910E+01 1.73856 -3.634574631562E-004 -0.335266 -2.69065 -2.574738853338E+001 -1.135933938878E-001 -1.071505181771E+000
4.935018686675E+01 1.80819 -6.738805750289E-004 -0.352345 -2.6988 -2.575884559009E+001 -1.160023442489E-001 -1.055303450337E+000
4.951127457872E+01 1.8782 -9.906949131089E-004 -0.371627 -2.71454 -2.577159414437E+001 -1.170122513563E-001 -1.037141983602E+000
4.965200057955E+01 1.9368 -1.257706529971E-003 -0.389661 -2.72896 -2.578336625394E+001 -1.180421706544E-001 -1.020256450117E+000
