 t slip_2 slip_3 slip_rate_2 slip_rate_3 shear_stress_2 shear_stress_3 state
648 9924091133.36 10.2971 0.00175706883184 -6.65026 -8.43045 -33.31036096603 -0.5525743604719 7.142025556812
649 9924091133.59 10.2971 0.001757067819606 -6.50921 -8.28476 -33.41580411335 -0.5602738175023 7.142024904723
650 9924091133.861 10.2971 0.001757066014242 -6.29886 -8.06163 -33.57291342646 -0.5797125221813 7.142023760664
651 9924091134.108 10.2971 0.001757063041162 -6.0343 -7.78386 -33.77054528853 -0.6011501251963 7.142021930751
652 9924091134.376 10.2971 0.001757056182498 -5.67612 -7.41568 -34.03828880182 -0.6200220322282 7.14201781441
653 9924091134.623 10.2971 0.001757041047885 -5.2985 -7.03094 -34.32062344523 -0.6354985116467 7.14200888098
654 9924091134.86 10.2971 0.001757003838873 -4.86709 -6.58956 -34.64310283668 -0.6563746913118 7.141987316627
655 9924091135.095 10.2971 0.001756839492972 -4.05626 -5.74751 -35.24866825196 -0.7176099236147 7.14189721607
656 9924091135.33 10.2973 0.001753357251223 -2.57452 -4.23474 -36.3535074981 -0.7949221650987 7.140139395001
657 9924091135.576 10.3039 0.001601668492108 -1.12128 -2.75882 -37.3314293845 -0.8600664794732 7.067720737686
658 9924091135.815 10.3371 0.0008217255322361 -0.707836 -2.3315 -37.10115587132 -0.882526124826 6.707532029191
659 9924091136.047 10.3927 -0.0004996357029526 -0.548983 -2.17672 -36.31749713064 -0.8558101812411 6.104233021375
660 9924091136.259 10.4622 -0.002093053540061 -0.426462 -2.07846 -35.28079672098 -0.786212760236 5.349428490898
661 9924091136.492 10.5615 -0.004227729811212 -0.322339 -2.00656 -33.74526335983 -0.6982134644504 4.270388000038
662 9924091136.705 10.6711 -0.006393121080723 -0.26063 -1.98642 -32.01280033209 -0.6019150157731 3.0809593381
663 9924091136.903 10.7848 -0.008397451090919 -0.222663 -2.00972 -30.19518321408 -0.4930376163712 1.846461649744
664 9924091137.103 10.907 -0.01022290064607 -0.208093 -2.07141 -28.23357090493 -0.3867654447795 0.5276236486558
665 9924091137.312 11.0369 -0.01187645365085 -0.215306 -2.13958 -26.37088608185 -0.3139432189927 -0.7138300571019
666 9924091137.494 11.1402 -0.01305555667845 -0.282031 -2.24208 -25.76184352395 -0.2824411137966 -1.0876083466
667 9924091137.696 11.2389 -0.01410425067383 -0.330556 -2.31581 -25.73820053542 -0.266272481911 -1.079255489405
668 9924091137.899 11.3316 -0.0150619794776 -0.352216 -2.3298 -25.75648270278 -0.2712105944073 -1.056177389135
669 9924091138.092 11.4142 -0.01595062138716 -0.386859 -2.35215 -25.77404851487 -0.2791828842915 -1.027063707103
670 9924091138.3 11.4968 -0.01682830876074 -0.409987 -2.39495 -25.79991076137 -0.2670905230132 -0.9983052402669
671 9924091138.492 11.5703 -0.01757556310169 -0.423487 -2.42092 -25.81351812116 -0.2596632650298 -0.982513882423
672 9924091138.683 11.641 -0.01828783371944 -0.440347 -2.43607 -25.82437237031 -0.2608000801813 -0.9668249227097
673 9924091138.889 11.7146 -0.01902854991428 -0.455804 -2.45458 -25.83725479387 -0.2590994455068 -0.9505007284575
674 9924091139.083 11.7814 -0.01969877662944 -0.469637 -2.46909 -25.8477326145 -0.2588021496825 -0.9365854754641
675 9924091139.236 11.8327 -0.02020869120628 -0.48034 -2.48605 -25.85577450715 -0.2551825376989 -0.9258851535443
676 9924091139.418 11.892 -0.0207885642351 -0.493489 -2.50683 -25.86485656132 -0.2508260655214 -0.9132709856612
677 9924091139.6 11.9494 -0.02134356085265 -0.508728 -2.52465 -25.87409879997 -0.2494265314962 -0.8994851999309
678 9924091139.776 12.0029 -0.02185584499729 -0.52499 -2.54608 -25.8841568247 -0.2465731535251 -0.8846523184853
679 9924091139.945 12.0526 -0.02232826877755 -0.542092 -2.56411 -25.89475900207 -0.2461444813077 -0.8690206114689
680 9924091140.118 12.1011 -0.02278870347509 -0.561121 -2.58593 -25.90637012741 -0.2446815604598 -0.8517579132138
681 9924091140.262 12.14 -0.02315376988057 -0.578257 -2.60748 -25.91684312296 -0.2423015488578 -0.8362074736695
682 9924091140.451 12.1885 -0.02360647265768 -0.601716 -2.63245 -25.93160724699 -0.2416000313543 -0.8146180038585
683 9924091140.65 12.2369 -0.02405496667023 -0.62779 -2.66369 -25.94802227366 -0.2388932079076 -0.7906304544851
684 9924091140.822 12.2762 -0.0244159823338 -0.651221 -2.68946 -25.96277962479 -0.2377479340553 -0.7690620087332
685 9924091141.017 12.3183 -0.02480005063853 -0.67834 -2.72144 -25.98023503023 -0.2352546143022 -0.743855461196
686 9924091141.202 12.3561 -0.02514008667315 -0.704046 -2.75122 -25.99735916958 -0.2332147034553 -0.7195733762818
687 9924091141.371 12.3886 -0.02543070809654 -0.726806 -2.77674 -26.01306495427 -0.2318784105061 -0.6977082247773
688 9924091141.546 12.4206 -0.02571347233274 -0.749651 -2.8088 -26.02925804393 -0.2271484104372 -0.6754942309518
689 9924091141.701 12.4476 -0.02594692157171 -0.769248 -2.83566 -26.04321649025 -0.223502960038 -0.6563905470137
690 9924091141.878 12.477 -0.02619715117095 -0.791359 -2.86673 -26.05860945626 -0.2190697005899 -0.6350754361197
691 9924091142.073 12.5076 -0.0264503291607 -0.815734 -2.90419 -26.07486932926 -0.2126985738744 -0.6120592864733
692 9924091142.247 12.5335 -0.02665982293024 -0.83803 -2.93409 -26.08900911597 -0.2091208517896 -0.5914829532511
693 9924091142.417 12.5576 -0.02685085628425 -0.860453 -2.96664 -26.10273968991 -0.2044072582286 -0.571122638689
694 9924091142.592 12.5811 -0.02703261761131 -0.883973 -3.00172 -26.11702294492 -0.1991473716261 -0.5498463029455
695 9924091142.741 12.6001 -0.02717614984824 -0.904064 -3.02923 -26.12929211708 -0.1958656092945 -0.5316199923898
696 9924091142.893 12.6186 -0.02731316157502 -0.924476 -3.05961 -26.14196929461 -0.1915170698987 -0.5129651599446
697 9924091143.036 12.6353 -0.02743415209585 -0.94348 -3.08982 -26.15415099681 -0.1867244499248 -0.4953471989638
698 9924091143.196 12.653 -0.02755900732451 -0.963924 -3.12037 -26.16771433563 -0.1825242346597 -0.4760825831272
699 9924091143.346 12.669 -0.02766919715477 -0.982534 -3.14861 -26.18047157799 -0.1786071697947 -0.458271995439
700 9924091143.5 12.6847 -0.02777484180489 -1.00078 -3.17963 -26.19349412987 -0.1735155713455 -0.4404730851436
